repeat,seed,alpha,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
7,6,0.8,1.048649312603263,0.048649312603262995,0.035729443167312164,0.0464,1.7686976016838973,50
8,6,0.3,1.0108925428465145,0.01089254284651453,0.002141638629546077,0.04640000000000002,1.218921243249621,50
8,6,0.5,1.0231713148522859,0.02317131485228585,1.8473819112002053e-05,0.047200000000000006,1.4632707457193292,50
8,6,0.8,0.9417994999928192,0.0582005000071808,5.059460067179498e-06,0.04880000000000001,1.7959872810465107,50
9,6,0.3,1.0790107021668367,0.0790107021668367,0.002334483601753757,0.047200000000000006,1.670631434996742,50
9,6,0.5,1.0930075057256188,0.09300750572561878,0.0063990562031400865,0.047200000000000006,1.3426624736867554,50
9,6,0.8,1.0330038541193391,0.03300385411933915,1.575010878343802e-05,0.0456,1.4340854058782448,50
0,7,0.3,1.0360745563700506,0.03607455637005064,0.0012290088219476033,0.039200000000000006,1.0551126404429376,50
0,7,0.5,1.0079697374783663,0.007969737478366268,2.7081222642380498e-05,0.0424,1.1055575815395673,50
0,7,0.8,0.9496856946393077,0.05031430536069226,0.0018687578817329542,0.0456,1.2078444678602087,50
1,7,0.3,1.1041840816250352,0.10418408162503523,1.927664571350196e-06,0.04960000000000002,1.1955542357307443,50
1,7,0.5,0.9996136907872162,0.0003863092127838197,0.0016355130226985055,0.036800000000000006,1.4449574620941261,50
1,7,0.8,1.0900680726570409,0.09006807265704087,0.000168030608841498,0.048,1.2628654741058414,50
2,7,0.3,1.068593931314757,0.068593931314757,4.304524807906334e-05,0.0376,1.295937914685672,50
2,7,0.5,0.9927506245871212,0.007249375412878845,0.004848281458287966,0.0208,1.351068552616705,50
2,7,0.8,0.9495756890891519,0.05042431091084809,0.0004555858941760481,0.04880000000000001,1.4595403667891684,50
3,7,0.3,1.0367936527457275,0.036793652745727545,3.409948695416941e-06,0.04080000000000001,0.9493847181747814,50
3,7,0.5,1.0543821025828668,0.0543821025828668,0.00966708849649122,0.04800000000000001,1.2242280065733495,50
3,7,0.8,1.0854730053678379,0.08547300536783786,0.0006251551627757786,0.04480000000000001,1.1693263262086222,50
4,7,0.3,1.0229120926531854,0.02291209265318539,0.0,0.0,0.01,50
4,7,0.5,1.0809505484829736,0.08095054848297356,0.005245300277172423,0.04400000000000001,1.1710375188172357,50
4,7,0.8,1.0397422435367227,0.03974224353672273,0.010800418713864649,0.04800000000000001,1.447826890210223,50
5,7,0.3,1.1194737926787637,0.11947379267876368,0.0,0.0,0.01,50
5,7,0.5,0.9895514303029235,0.010448569697076526,0.01035012578185388,0.045599999999999995,0.9673529614500227,50
5,7,0.8,1.0036804351809423,0.0036804351809422986,4.362056239937774e-05,0.046400000000000004,1.6319370638371962,50
6,7,0.3,1.0869589331997611,0.08695893319976111,8.136807507654959e-05,0.04800000000000001,1.1267716993713348,50
6,7,0.5,1.0340139324414415,0.03401393244144146,5.634972947456226e-06,0.04720000000000001,1.394072405595032,50
6,7,0.8,1.0069554549830277,0.006955454983027742,0.0009421343441457458,0.044800000000000006,1.3857271421342316,50
7,7,0.3,1.0219330323214701,0.021933032321470147,4.967789709556672e-05,0.039999999999999994,1.0374672515788799,50
7,7,0.5,1.0577218947811695,0.057721894781169514,6.373576670488507e-06,0.036000000000000004,1.078772237694018,50
7,7,0.8,1.1379280793207223,0.13792807932072226,0.0001866624003358848,0.04880000000000001,1.3148664347400625,50
8,7,0.3,0.9343515382507219,0.06564846174927808,0.0009998204760274987,0.033600000000000005,1.3420071140997751,50
8,7,0.5,0.9794700349478519,0.020529965052148103,0.00030879683541428236,0.044800000000000006,1.135795422109575,50
8,7,0.8,1.0912780203268087,0.09127802032680865,0.01427882220607889,0.048799999999999996,1.4391638447065256,50
9,7,0.3,0.9998089903148518,0.00019100968514818017,0.0064807552656593855,0.04800000000000001,1.1903402337453795,50
9,7,0.5,0.9905099298269728,0.009490070173027165,4.363886308276256e-05,0.0432,1.1983170759116595,50
9,7,0.8,1.0225858168296205,0.022585816829620464,0.008970356863159567,0.046400000000000004,1.3078175299932815,50
0,8,0.3,1.066911096665163,0.06691109666516293,3.067179872647304e-06,0.0464,1.4056258199478726,50
0,8,0.5,0.9516525124100977,0.04834748758990226,0.004495410968301296,0.0496,1.6138827112248064,50
0,8,0.8,1.027897449848446,0.02789744984844611,0.0014330914029978806,0.032799999999999996,2.0354958039633884,50
1,8,0.3,0.9889858906452098,0.011014109354790191,0.0031860368973950387,0.028000000000000004,1.2811463605026039,50
1,8,0.5,1.0056654901971926,0.005665490197192646,0.02750412547901729,0.04800000000000001,1.501274247439414,50
1,8,0.8,1.0126023068595709,0.012602306859570866,0.0010183989290445772,0.04800000000000001,1.7705886846283638,50
2,8,0.3,1.0277162592093583,0.027716259209358274,0.01964516944723966,0.0464,1.6972621191602673,50
2,8,0.5,1.0288460307425547,0.02884603074255465,0.05162260468049958,0.03440000000000001,1.9994934896022867,50
2,8,0.8,0.9419502018450389,0.05804979815496114,0.013128478691192044,0.04,2.0740022811649004,50
3,8,0.3,1.0140986718898521,0.014098671889852143,0.0010037417052690086,0.03040000000000001,1.4526411466031453,50
3,8,0.5,1.0420069683975721,0.04200696839757212,7.727323499268176e-05,0.04880000000000002,1.6310014694275887,50
3,8,0.8,1.077351192571283,0.07735119257128309,0.0024819943065160616,0.044,1.6495505668737536,50
4,8,0.3,1.0588258313109975,0.0588258313109975,0.008392789410601302,0.0432,1.4982275953469453,50
4,8,0.5,0.9706232998788076,0.029376700121192423,0.0001090216055253178,0.0392,1.6743577932377518,50
4,8,0.8,1.1102205719335019,0.11022057193350188,0.013420371667241925,0.04720000000000001,1.9068080583378837,50
5,8,0.3,1.0225169944192218,0.022516994419221836,0.00018612414468836485,0.04000000000000001,1.7958924535217287,50
